,Time,mV,ppb
0,04/12/24:18:35:30,339.842,619
1,04/12/24:18:35:31,341.051,622
2,04/12/24:18:35:32,341.829,623
3,04/12/24:18:35:33,342.036,624
4,04/12/24:18:35:34,341.928,623
5,04/12/24:18:35:35,341.727,623
6,04/12/24:18:35:36,341.58,623
7,04/12/24:18:35:37,341.624,623
8,04/12/24:18:35:39,341.801,623
9,04/12/24:18:35:40,342.165,624
10,04/12/24:18:35:41,342.702,625
11,04/12/24:18:35:42,343.359,626
12,04/12/24:18:35:43,344.136,628
13,04/12/24:18:35:44,345.049,630
14,04/12/24:18:35:45,346.004,632
15,04/12/24:18:35:46,347.002,634
16,04/12/24:18:35:47,347.927,635
17,04/12/24:18:35:48,348.885,637
18,04/12/24:18:35:49,349.839,639
19,04/12/24:18:35:50,350.778,641
20,04/12/24:18:35:51,351.688,643
21,04/12/24:18:35:52,352.713,645
22,04/12/24:18:35:53,353.625,647
23,04/12/24:18:35:54,354.537,649
24,04/12/24:18:35:55,355.425,650
25,04/12/24:18:35:56,356.259,652
26,04/12/24:18:35:57,357.105,654
27,04/12/24:18:35:58,357.923,655
28,04/12/24:18:36:00,358.706,657
29,04/12/24:18:36:01,359.479,658
30,04/12/24:18:36:02,360.268,660
31,04/12/24:18:36:03,361.038,662
32,04/12/24:18:36:04,361.821,663
33,04/12/24:18:36:05,362.596,665
34,04/12/24:18:36:06,363.342,666
35,04/12/24:18:36:07,364.089,668
36,04/12/24:18:36:08,364.807,669
37,04/12/24:18:36:09,365.49,670
38,04/12/24:18:36:10,366.186,672
39,04/12/24:18:36:11,366.874,673
40,04/12/24:18:36:12,367.573,675
41,04/12/24:18:36:13,368.241,676
42,04/12/24:18:36:14,368.923,677
43,04/12/24:18:36:15,369.587,679
44,04/12/24:18:36:16,370.264,680
45,04/12/24:18:36:17,370.915,681
46,04/12/24:18:36:18,371.521,683
47,04/12/24:18:36:19,372.168,684
48,04/12/24:18:36:21,372.786,685
49,04/12/24:18:36:22,373.412,686
50,04/12/24:18:36:23,374.046,688
51,04/12/24:18:36:24,374.619,689
52,04/12/24:18:36:25,375.166,690
53,04/12/24:18:36:26,375.725,691
54,04/12/24:18:36:27,376.305,692
55,04/12/24:18:36:28,376.907,693
56,04/12/24:18:36:29,377.449,694
57,04/12/24:18:36:30,377.994,695
58,04/12/24:18:36:31,378.54,697
59,04/12/24:18:36:32,379.038,698
60,04/12/24:18:36:33,379.604,699
61,04/12/24:18:36:34,380.112,700
62,04/12/24:18:36:35,379.66,699
63,04/12/24:18:36:36,379.314,698
64,04/12/24:18:36:37,379.546,699
65,04/12/24:18:36:38,380.116,700
66,04/12/24:18:36:39,380.842,701
67,04/12/24:18:36:41,381.585,703
68,04/12/24:18:36:42,382.284,704
69,04/12/24:18:36:43,382.918,705
70,04/12/24:18:36:44,383.47,706
71,04/12/24:18:36:45,383.978,707
72,04/12/24:18:36:46,384.422,708
73,04/12/24:18:36:47,384.781,709
74,04/12/24:18:36:48,385.064,710
75,04/12/24:18:36:49,385.252,710
76,04/12/24:18:36:50,385.314,710
77,04/12/24:18:36:51,385.289,710
78,04/12/24:18:36:52,385.185,710
79,04/12/24:18:36:53,384.984,709
80,04/12/24:18:36:54,384.715,709
81,04/12/24:18:36:55,384.415,708
82,04/12/24:18:36:56,384.049,708
83,04/12/24:18:36:57,383.608,707
84,04/12/24:18:36:58,383.153,706
85,04/12/24:18:36:59,382.629,705
86,04/12/24:18:37:00,382.095,704
87,04/12/24:18:37:01,381.55,703
88,04/12/24:18:37:02,380.987,701
89,04/12/24:18:37:04,380.419,700
90,04/12/24:18:37:05,379.87,699
91,04/12/24:18:37:06,379.324,698
92,04/12/24:18:37:07,378.764,697
93,04/12/24:18:37:08,378.222,696
94,04/12/24:18:37:09,377.684,695
95,04/12/24:18:37:10,377.162,694
96,04/12/24:18:37:11,376.661,693
97,04/12/24:18:37:12,376.189,692
98,04/12/24:18:37:13,375.752,691
99,04/12/24:18:37:14,375.246,690
100,04/12/24:18:37:15,374.814,689
101,04/12/24:18:37:16,374.402,688
102,04/12/24:18:37:17,374.045,688
103,04/12/24:18:37:18,373.681,687
104,04/12/24:18:37:19,373.245,686
105,04/12/24:18:37:20,372.813,685
106,04/12/24:18:37:21,372.459,684
107,04/12/24:18:37:22,372.108,684
108,04/12/24:18:37:23,371.76,683
109,04/12/24:18:37:24,371.419,682
110,04/12/24:18:37:25,371.11,682
111,04/12/24:18:37:26,370.747,681
112,04/12/24:18:37:27,370.443,680
113,04/12/24:18:37:28,370.129,680
114,04/12/24:18:37:29,369.833,679
115,04/12/24:18:37:31,369.522,679
116,04/12/24:18:37:32,369.194,678
117,04/12/24:18:37:33,368.892,677
