,Time,mV,ppb
0,04/09/24:12:50:43,216.639,373
1,04/09/24:12:50:44,216.595,373
2,04/09/24:12:50:45,216.634,373
3,04/09/24:12:50:46,216.629,373
4,04/09/24:12:50:47,216.624,373
5,04/09/24:12:50:48,216.611,373
6,04/09/24:12:50:49,216.607,373
7,04/09/24:12:50:50,216.59,373
8,04/09/24:12:50:51,216.583,373
9,04/09/24:12:50:52,216.578,373
10,04/09/24:12:50:53,216.595,373
11,04/09/24:12:50:54,216.586,373
12,04/09/24:12:50:56,216.568,373
13,04/09/24:12:50:57,216.546,373
14,04/09/24:12:50:58,216.507,373
15,04/09/24:12:50:59,216.492,372
16,04/09/24:12:51:00,216.476,372
17,04/09/24:12:51:01,216.476,372
18,04/09/24:12:51:02,216.483,372
19,04/09/24:12:51:03,216.466,372
20,04/09/24:12:51:04,216.489,372
21,04/09/24:12:51:05,216.459,372
22,04/09/24:12:51:06,216.429,372
23,04/09/24:12:51:07,216.42,372
24,04/09/24:12:51:08,216.401,372
25,04/09/24:12:51:09,216.4,372
26,04/09/24:12:51:10,216.4,372
27,04/09/24:12:51:11,216.439,372
28,04/09/24:12:51:12,216.417,372
29,04/09/24:12:51:13,216.385,372
30,04/09/24:12:51:14,216.369,372
31,04/09/24:12:51:15,216.364,372
32,04/09/24:12:51:16,216.346,372
33,04/09/24:12:51:17,216.341,372
34,04/09/24:12:51:18,216.345,372
35,04/09/24:12:51:19,216.328,372
36,04/09/24:12:51:20,216.306,372
37,04/09/24:12:51:21,216.286,372
38,04/09/24:12:51:22,216.28,372
39,04/09/24:12:51:23,216.281,372
40,04/09/24:12:51:25,216.267,372
41,04/09/24:12:51:26,216.239,372
42,04/09/24:12:51:27,216.257,372
43,04/09/24:12:51:28,216.244,372
44,04/09/24:12:51:29,216.226,372
45,04/09/24:12:51:30,216.213,372
46,04/09/24:12:51:31,216.18,372
47,04/09/24:12:51:32,216.164,372
48,04/09/24:12:51:33,216.145,372
49,04/09/24:12:51:34,216.13,372
50,04/09/24:12:51:35,216.117,372
51,04/09/24:12:51:36,216.111,372
52,04/09/24:12:51:37,216.101,372
53,04/09/24:12:51:38,216.087,372
54,04/09/24:12:51:39,216.083,372
55,04/09/24:12:51:40,216.073,372
56,04/09/24:12:51:41,216.058,372
57,04/09/24:12:51:42,216.054,372
58,04/09/24:12:51:43,216.043,372
59,04/09/24:12:51:44,216.053,372
60,04/09/24:12:51:45,216.034,372
61,04/09/24:12:51:46,216.021,372
62,04/09/24:12:51:47,215.93,371
63,04/09/24:12:51:49,215.855,371
64,04/09/24:12:51:50,215.827,371
65,04/09/24:12:51:51,215.817,371
66,04/09/24:12:51:52,215.825,371
67,04/09/24:12:51:53,215.835,371
68,04/09/24:12:51:54,215.847,371
69,04/09/24:12:51:55,215.867,371
70,04/09/24:12:51:56,215.856,371
71,04/09/24:12:51:57,215.876,371
72,04/09/24:12:51:58,215.883,371
73,04/09/24:12:51:59,215.902,371
74,04/09/24:12:52:00,215.914,371
75,04/09/24:12:52:01,215.923,371
76,04/09/24:12:52:02,215.949,371
77,04/09/24:12:52:03,216.001,372
78,04/09/24:12:52:04,216.076,372
79,04/09/24:12:52:05,216.108,372
