,Time,mV,ppb
0,04/11/24:13:42:39,318.252,576
1,04/11/24:13:42:40,318.203,576
2,04/11/24:13:42:41,318.226,576
3,04/11/24:13:42:42,318.171,576
4,04/11/24:13:42:43,318.096,576
5,04/11/24:13:42:44,318.094,576
6,04/11/24:13:42:46,318.07,576
7,04/11/24:13:42:47,318.016,576
8,04/11/24:13:42:48,317.96,575
9,04/11/24:13:42:49,317.929,575
10,04/11/24:13:42:50,317.876,575
11,04/11/24:13:42:51,317.829,575
12,04/11/24:13:42:52,317.763,575
13,04/11/24:13:42:53,317.697,575
14,04/11/24:13:42:54,317.65,575
15,04/11/24:13:42:55,317.606,575
16,04/11/24:13:42:56,317.577,575
17,04/11/24:13:42:57,317.497,574
18,04/11/24:13:42:58,317.42,574
19,04/11/24:13:42:59,317.331,574
20,04/11/24:13:43:00,317.287,574
21,04/11/24:13:43:01,317.206,574
22,04/11/24:13:43:02,317.147,574
23,04/11/24:13:43:03,317.119,574
24,04/11/24:13:43:04,317.069,574
25,04/11/24:13:43:05,317.007,574
26,04/11/24:13:43:06,316.953,573
27,04/11/24:13:43:07,316.936,573
28,04/11/24:13:43:08,316.87,573
29,04/11/24:13:43:10,316.795,573
30,04/11/24:13:43:11,316.731,573
31,04/11/24:13:43:12,316.661,573
32,04/11/24:13:43:13,316.633,573
33,04/11/24:13:43:14,316.583,573
34,04/11/24:13:43:15,316.516,573
35,04/11/24:13:43:16,316.495,572
36,04/11/24:13:43:17,316.424,572
37,04/11/24:13:43:18,316.385,572
38,04/11/24:13:43:19,316.366,572
39,04/11/24:13:43:20,316.368,572
40,04/11/24:13:43:21,316.314,572
41,04/11/24:13:43:22,316.277,572
42,04/11/24:13:43:23,316.222,572
43,04/11/24:13:43:24,316.165,572
44,04/11/24:13:43:25,316.131,572
45,04/11/24:13:43:26,316.073,572
46,04/11/24:13:43:27,315.985,571
47,04/11/24:13:43:28,315.903,571
48,04/11/24:13:43:29,315.82,571
49,04/11/24:13:43:30,315.729,571
50,04/11/24:13:43:32,315.64,571
51,04/11/24:13:43:33,315.566,571
52,04/11/24:13:43:34,315.498,570
53,04/11/24:13:43:35,315.415,570
54,04/11/24:13:43:36,315.332,570
55,04/11/24:13:43:37,315.278,570
56,04/11/24:13:43:38,315.246,570
57,04/11/24:13:43:39,315.21,570
58,04/11/24:13:43:40,315.153,570
59,04/11/24:13:43:41,315.109,570
60,04/11/24:13:43:42,315.072,570
61,04/11/24:13:43:43,315.025,570
62,04/11/24:13:43:44,314.834,569
63,04/11/24:13:43:45,314.658,569
64,04/11/24:13:43:46,314.591,569
65,04/11/24:13:43:47,314.534,569
66,04/11/24:13:43:48,314.488,568
67,04/11/24:13:43:49,314.421,568
68,04/11/24:13:43:50,314.381,568
69,04/11/24:13:43:52,314.337,568
70,04/11/24:13:43:53,314.337,568
71,04/11/24:13:43:54,314.354,568
72,04/11/24:13:43:55,314.369,568
73,04/11/24:13:43:56,314.386,568
74,04/11/24:13:43:57,314.418,568
75,04/11/24:13:43:58,314.448,568
76,04/11/24:13:43:59,314.402,568
77,04/11/24:13:44:00,314.31,568
78,04/11/24:13:44:01,314.182,568
79,04/11/24:13:44:02,314.008,568
80,04/11/24:13:44:03,313.756,567
81,04/11/24:13:44:04,313.468,566
82,04/11/24:13:44:05,313.089,566
83,04/11/24:13:44:06,312.706,565
84,04/11/24:13:44:07,312.289,564
