,Time,mV,ppb
0,04/10/24:10:13:26,267.491,474
1,04/10/24:10:13:27,267.318,474
2,04/10/24:10:13:28,267.169,474
3,04/10/24:10:13:29,267.002,474
4,04/10/24:10:13:30,266.851,473
5,04/10/24:10:13:31,266.685,473
6,04/10/24:10:13:32,266.562,473
7,04/10/24:10:13:33,266.38,472
8,04/10/24:10:13:34,266.212,472
9,04/10/24:10:13:35,266.079,472
10,04/10/24:10:13:36,265.908,471
11,04/10/24:10:13:37,265.735,471
12,04/10/24:10:13:38,265.578,471
13,04/10/24:10:13:39,265.427,470
14,04/10/24:10:13:40,265.312,470
15,04/10/24:10:13:42,265.184,470
16,04/10/24:10:13:43,265.033,470
17,04/10/24:10:13:44,264.859,469
18,04/10/24:10:13:45,264.691,469
19,04/10/24:10:13:46,264.554,469
20,04/10/24:10:13:47,264.426,468
21,04/10/24:10:13:48,264.293,468
22,04/10/24:10:13:49,264.146,468
23,04/10/24:10:13:50,263.992,467
24,04/10/24:10:13:51,263.839,467
25,04/10/24:10:13:52,263.681,467
26,04/10/24:10:13:53,263.545,467
27,04/10/24:10:13:54,263.417,466
28,04/10/24:10:13:55,263.24,466
29,04/10/24:10:13:56,263.057,466
30,04/10/24:10:13:57,262.91,465
31,04/10/24:10:13:58,262.736,465
32,04/10/24:10:13:59,262.586,465
33,04/10/24:10:14:00,262.47,464
34,04/10/24:10:14:01,262.32,464
35,04/10/24:10:14:02,262.2,464
36,04/10/24:10:14:03,262.081,464
37,04/10/24:10:14:04,261.937,463
38,04/10/24:10:14:05,261.791,463
39,04/10/24:10:14:06,261.665,463
40,04/10/24:10:14:07,261.535,463
41,04/10/24:10:14:08,261.373,462
42,04/10/24:10:14:09,261.222,462
43,04/10/24:10:14:10,261.088,462
44,04/10/24:10:14:12,260.931,461
45,04/10/24:10:14:13,260.818,461
46,04/10/24:10:14:14,260.676,461
47,04/10/24:10:14:15,260.544,461
48,04/10/24:10:14:16,260.366,460
49,04/10/24:10:14:17,260.194,460
50,04/10/24:10:14:18,260.052,460
51,04/10/24:10:14:19,259.925,459
52,04/10/24:10:14:20,259.8,459
53,04/10/24:10:14:21,259.663,459
54,04/10/24:10:14:22,259.51,459
55,04/10/24:10:14:23,259.381,458
56,04/10/24:10:14:24,259.241,458
57,04/10/24:10:14:25,259.081,458
58,04/10/24:10:14:26,258.976,457
59,04/10/24:10:14:27,258.843,457
60,04/10/24:10:14:28,258.706,457
61,04/10/24:10:14:29,258.6,457
62,04/10/24:10:14:30,258.384,456
63,04/10/24:10:14:31,258.196,456
64,04/10/24:10:14:32,258.093,456
65,04/10/24:10:14:33,257.987,455
66,04/10/24:10:14:34,257.877,455
67,04/10/24:10:14:35,257.781,455
68,04/10/24:10:14:36,257.683,455
69,04/10/24:10:14:37,257.576,455
70,04/10/24:10:14:39,257.504,455
71,04/10/24:10:14:40,257.425,454
72,04/10/24:10:14:41,257.333,454
73,04/10/24:10:14:42,257.276,454
74,04/10/24:10:14:43,257.192,454
75,04/10/24:10:14:44,257.125,454
76,04/10/24:10:14:45,257.078,454
77,04/10/24:10:14:46,257.037,454
78,04/10/24:10:14:47,257.002,454
79,04/10/24:10:14:48,256.961,453
80,04/10/24:10:14:49,256.933,453
81,04/10/24:10:14:50,256.912,453
82,04/10/24:10:14:51,256.882,453
83,04/10/24:10:14:52,256.841,453
84,04/10/24:10:14:53,256.81,453
85,04/10/24:10:14:54,256.772,453
86,04/10/24:10:14:55,256.744,453
87,04/10/24:10:14:56,256.7,453
88,04/10/24:10:14:57,256.682,453
89,04/10/24:10:14:58,256.663,453
90,04/10/24:10:14:59,256.622,453
91,04/10/24:10:15:00,256.593,453
92,04/10/24:10:15:01,256.579,453
93,04/10/24:10:15:02,256.451,452
94,04/10/24:10:15:03,256.396,452
95,04/10/24:10:15:04,256.367,452
96,04/10/24:10:15:05,256.347,452
97,04/10/24:10:15:06,256.336,452
98,04/10/24:10:15:07,256.349,452
99,04/10/24:10:15:09,256.346,452
100,04/10/24:10:15:10,256.294,452
101,04/10/24:10:15:11,256.252,452
102,04/10/24:10:15:12,256.231,452
103,04/10/24:10:15:13,256.225,452
104,04/10/24:10:15:14,256.229,452
105,04/10/24:10:15:15,256.228,452
106,04/10/24:10:15:16,256.177,452
107,04/10/24:10:15:17,256.139,452
108,04/10/24:10:15:18,256.107,452
109,04/10/24:10:15:19,256.093,452
110,04/10/24:10:15:20,256.095,452
111,04/10/24:10:15:21,256.069,452
112,04/10/24:10:15:22,256.035,452
113,04/10/24:10:15:23,256.011,452
114,04/10/24:10:15:24,255.978,451
115,04/10/24:10:15:25,255.956,451
116,04/10/24:10:15:26,255.945,451
117,04/10/24:10:15:27,255.917,451
118,04/10/24:10:15:28,255.924,451
119,04/10/24:10:15:29,255.902,451
120,04/10/24:10:15:30,255.89,451
121,04/10/24:10:15:31,255.84,451
122,04/10/24:10:15:32,255.852,451
123,04/10/24:10:15:33,255.775,451
124,04/10/24:10:15:34,255.689,451
125,04/10/24:10:15:35,255.589,451
126,04/10/24:10:15:36,255.535,451
127,04/10/24:10:15:37,255.493,450
128,04/10/24:10:15:38,255.384,450
129,04/10/24:10:15:39,255.336,450
130,04/10/24:10:15:40,255.313,450
131,04/10/24:10:15:41,255.282,450
132,04/10/24:10:15:43,255.25,450
133,04/10/24:10:15:44,255.218,450
134,04/10/24:10:15:45,255.205,450
135,04/10/24:10:15:46,255.153,450
136,04/10/24:10:15:47,255.138,450
137,04/10/24:10:15:48,255.086,450
138,04/10/24:10:15:49,255.047,450
139,04/10/24:10:15:50,254.989,449
140,04/10/24:10:15:51,254.936,449
141,04/10/24:10:15:52,254.903,449
142,04/10/24:10:15:53,254.846,449
143,04/10/24:10:15:54,254.801,449
144,04/10/24:10:15:55,254.766,449
145,04/10/24:10:15:56,254.728,449
146,04/10/24:10:15:57,254.685,449
147,04/10/24:10:15:58,254.606,449
148,04/10/24:10:15:59,254.557,449
149,04/10/24:10:16:00,254.525,449
150,04/10/24:10:16:01,254.475,448
151,04/10/24:10:16:02,254.418,448
152,04/10/24:10:16:03,254.352,448
153,04/10/24:10:16:04,254.267,448
154,04/10/24:10:16:05,254.197,448
155,04/10/24:10:16:06,254.152,448
156,04/10/24:10:16:07,254.101,448
157,04/10/24:10:16:08,254.04,448
158,04/10/24:10:16:09,253.993,447
159,04/10/24:10:16:10,253.937,447
160,04/10/24:10:16:11,253.878,447
161,04/10/24:10:16:12,253.815,447
162,04/10/24:10:16:13,253.758,447
163,04/10/24:10:16:14,253.66,447
164,04/10/24:10:16:15,253.598,447
165,04/10/24:10:16:17,253.525,447
166,04/10/24:10:16:18,253.464,446
167,04/10/24:10:16:19,253.386,446
168,04/10/24:10:16:20,253.351,446
169,04/10/24:10:16:21,253.254,446
170,04/10/24:10:16:22,253.205,446
171,04/10/24:10:16:23,253.162,446
172,04/10/24:10:16:24,253.082,446
173,04/10/24:10:16:25,253.003,446
174,04/10/24:10:16:26,252.914,445
175,04/10/24:10:16:27,252.841,445
176,04/10/24:10:16:28,252.72,445
177,04/10/24:10:16:29,252.639,445
178,04/10/24:10:16:30,252.565,445
179,04/10/24:10:16:31,252.463,444
180,04/10/24:10:16:32,252.393,444
181,04/10/24:10:16:33,252.302,444
182,04/10/24:10:16:34,252.21,444
183,04/10/24:10:16:35,252.103,444
184,04/10/24:10:16:36,251.977,443
