,Time,mV,ppb
0,04/11/24:12:11:55,322.554,585
1,04/11/24:12:11:56,321.77,583
2,04/11/24:12:11:58,321.126,582
3,04/11/24:12:11:59,320.394,580
4,04/11/24:12:12:00,319.828,579
5,04/11/24:12:12:01,319.157,578
6,04/11/24:12:12:02,318.459,576
7,04/11/24:12:12:03,317.839,575
8,04/11/24:12:12:04,317.248,574
9,04/11/24:12:12:05,316.674,573
10,04/11/24:12:12:06,316.135,572
11,04/11/24:12:12:07,315.479,570
12,04/11/24:12:12:08,314.96,569
13,04/11/24:12:12:09,314.405,568
14,04/11/24:12:12:10,313.796,567
15,04/11/24:12:12:11,313.374,566
16,04/11/24:12:12:12,312.825,565
17,04/11/24:12:12:13,312.252,564
18,04/11/24:12:12:14,311.796,563
19,04/11/24:12:12:15,311.263,562
20,04/11/24:12:12:16,310.856,561
21,04/11/24:12:12:17,310.337,560
22,04/11/24:12:12:18,309.922,559
23,04/11/24:12:12:19,309.437,558
24,04/11/24:12:12:20,309.009,558
25,04/11/24:12:12:21,308.558,557
26,04/11/24:12:12:22,308.145,556
27,04/11/24:12:12:23,307.724,555
28,04/11/24:12:12:24,307.251,554
29,04/11/24:12:12:25,306.897,553
30,04/11/24:12:12:26,306.426,552
31,04/11/24:12:12:27,305.997,551
32,04/11/24:12:12:28,305.683,551
33,04/11/24:12:12:30,305.235,550
34,04/11/24:12:12:31,304.882,549
35,04/11/24:12:12:32,304.561,549
36,04/11/24:12:12:33,304.134,548
37,04/11/24:12:12:34,303.725,547
38,04/11/24:12:12:35,303.468,546
39,04/11/24:12:12:36,303.064,546
40,04/11/24:12:12:37,302.603,545
41,04/11/24:12:12:38,302.358,544
42,04/11/24:12:12:39,301.996,543
43,04/11/24:12:12:40,301.558,543
44,04/11/24:12:12:41,301.202,542
45,04/11/24:12:12:42,300.934,541
46,04/11/24:12:12:43,300.543,541
47,04/11/24:12:12:44,300.204,540
48,04/11/24:12:12:45,299.999,539
49,04/11/24:12:12:46,299.595,539
50,04/11/24:12:12:47,299.194,538
51,04/11/24:12:12:48,298.937,537
52,04/11/24:12:12:49,298.624,537
53,04/11/24:12:12:50,298.228,536
54,04/11/24:12:12:51,297.99,535
55,04/11/24:12:12:52,297.694,535
56,04/11/24:12:12:53,297.342,534
57,04/11/24:12:12:54,297.163,534
58,04/11/24:12:12:56,296.824,533
59,04/11/24:12:12:57,296.485,532
60,04/11/24:12:12:58,296.28,532
61,04/11/24:12:12:59,295.922,531
62,04/11/24:12:13:00,295.641,531
63,04/11/24:12:13:01,295.366,530
64,04/11/24:12:13:02,295.037,530
65,04/11/24:12:13:03,294.717,529
66,04/11/24:12:13:04,294.57,529
67,04/11/24:12:13:05,294.244,528
68,04/11/24:12:13:06,293.96,527
69,04/11/24:12:13:07,293.871,527
70,04/11/24:12:13:08,293.641,527
71,04/11/24:12:13:09,293.343,526
72,04/11/24:12:13:10,293.206,526
73,04/11/24:12:13:11,293.031,526
74,04/11/24:12:13:12,292.749,525
75,04/11/24:12:13:13,292.585,525
76,04/11/24:12:13:14,292.411,524
77,04/11/24:12:13:15,292.061,524
78,04/11/24:12:13:16,291.662,523
79,04/11/24:12:13:17,291.392,522
80,04/11/24:12:13:18,290.959,521
81,04/11/24:12:13:19,290.417,520
82,04/11/24:12:13:21,289.868,519
83,04/11/24:12:13:22,289.473,518
84,04/11/24:12:13:23,288.817,517
85,04/11/24:12:13:24,288.166,516
86,04/11/24:12:13:25,287.699,515
87,04/11/24:12:13:26,286.98,513
88,04/11/24:12:13:27,286.292,512
89,04/11/24:12:13:28,285.768,511
90,04/11/24:12:13:29,285.057,510
91,04/11/24:12:13:30,284.351,508
92,04/11/24:12:13:31,283.814,507
93,04/11/24:12:13:32,282.909,505
94,04/11/24:12:13:33,282.024,504
95,04/11/24:12:13:34,281.329,502
96,04/11/24:12:13:35,280.656,501
97,04/11/24:12:13:36,280.153,500
98,04/11/24:12:13:37,279.499,498
99,04/11/24:12:13:38,278.846,497
100,04/11/24:12:13:39,278.323,496
101,04/11/24:12:13:40,277.852,495
102,04/11/24:12:13:41,277.291,494
103,04/11/24:12:13:42,276.906,493
104,04/11/24:12:13:43,276.436,492
105,04/11/24:12:13:44,275.939,491
106,04/11/24:12:13:45,275.602,491
107,04/11/24:12:13:46,275.222,490
108,04/11/24:12:13:47,274.748,489
109,04/11/24:12:13:48,274.288,488
110,04/11/24:12:13:49,273.97,487
111,04/11/24:12:13:50,273.656,487
112,04/11/24:12:13:51,273.254,486
113,04/11/24:12:13:52,272.91,485
114,04/11/24:12:13:54,272.754,485
115,04/11/24:12:13:55,272.434,484
116,04/11/24:12:13:56,272.089,484
117,04/11/24:12:13:57,271.882,483
118,04/11/24:12:13:58,271.673,483
119,04/11/24:12:13:59,271.372,482
120,04/11/24:12:14:00,271.089,482
121,04/11/24:12:14:01,270.951,481
122,04/11/24:12:14:02,270.601,481
123,04/11/24:12:14:03,270.352,480
124,04/11/24:12:14:04,270.171,480
125,04/11/24:12:14:05,269.824,479
126,04/11/24:12:14:06,269.501,479
127,04/11/24:12:14:07,269.332,478
128,04/11/24:12:14:08,268.975,477
129,04/11/24:12:14:09,268.635,477
130,04/11/24:12:14:10,270.036,480
131,04/11/24:12:14:11,270.216,480
132,04/11/24:12:14:12,269.805,479
133,04/11/24:12:14:13,269.362,478
134,04/11/24:12:14:14,269.203,478
135,04/11/24:12:14:15,268.828,477
136,04/11/24:12:14:16,268.528,477
137,04/11/24:12:14:17,268.361,476
138,04/11/24:12:14:18,268.194,476
139,04/11/24:12:14:19,267.998,475
140,04/11/24:12:14:20,267.959,475
141,04/11/24:12:14:21,267.827,475
142,04/11/24:12:14:22,267.78,475
143,04/11/24:12:14:23,267.621,475
144,04/11/24:12:14:24,267.66,475
145,04/11/24:12:14:25,267.553,475
146,04/11/24:12:14:27,267.384,474
147,04/11/24:12:14:28,267.31,474
148,04/11/24:12:14:29,267.271,474
149,04/11/24:12:14:30,267.068,474
150,04/11/24:12:14:31,266.933,473
151,04/11/24:12:14:32,266.984,473
152,04/11/24:12:14:33,266.82,473
153,04/11/24:12:14:34,266.689,473
154,04/11/24:12:14:35,266.748,473
155,04/11/24:12:14:36,266.763,473
156,04/11/24:12:14:37,266.743,473
157,04/11/24:12:14:38,266.801,473
158,04/11/24:12:14:39,266.934,473
159,04/11/24:12:14:40,266.939,473
160,04/11/24:12:14:41,267.009,474
161,04/11/24:12:14:42,267.068,474
162,04/11/24:12:14:43,267.021,474
163,04/11/24:12:14:44,267.1,474
164,04/11/24:12:14:45,267.022,474
165,04/11/24:12:14:46,266.921,473
166,04/11/24:12:14:47,266.992,473
167,04/11/24:12:14:48,266.747,473
168,04/11/24:12:14:49,266.507,473
169,04/11/24:12:14:50,266.398,472
170,04/11/24:12:14:51,266.197,472
171,04/11/24:12:14:52,265.856,471
172,04/11/24:12:14:53,265.516,471
173,04/11/24:12:14:54,265.32,470
174,04/11/24:12:14:55,264.899,469
175,04/11/24:12:14:56,264.411,468
176,04/11/24:12:14:57,263.899,467
177,04/11/24:12:14:58,263.59,467
178,04/11/24:12:15:00,263.033,466
179,04/11/24:12:15:01,262.431,464
180,04/11/24:12:15:02,261.866,463
181,04/11/24:12:15:03,261.486,462
182,04/11/24:12:15:04,260.856,461
183,04/11/24:12:15:05,260.224,460
184,04/11/24:12:15:06,259.613,459
185,04/11/24:12:15:07,259.186,458
186,04/11/24:12:15:08,258.492,456
187,04/11/24:12:15:09,257.843,455
188,04/11/24:12:15:10,257.23,454
189,04/11/24:12:15:11,256.734,453
190,04/11/24:12:15:12,256.074,452
191,04/11/24:12:15:13,255.445,450
192,04/11/24:12:15:14,254.946,449
193,04/11/24:12:15:15,254.315,448
194,04/11/24:12:15:16,253.735,447
195,04/11/24:12:15:17,253.32,446
196,04/11/24:12:15:18,252.808,445
197,04/11/24:12:15:19,252.354,444
198,04/11/24:12:15:20,252.211,444
199,04/11/24:12:15:21,252.12,444
200,04/11/24:12:15:22,252.189,444
201,04/11/24:12:15:23,252.581,445
202,04/11/24:12:15:24,253.103,446
203,04/11/24:12:15:25,253.832,447
204,04/11/24:12:15:26,254.824,449
205,04/11/24:12:15:27,255.899,451
206,04/11/24:12:15:28,257.139,454
207,04/11/24:12:15:29,258.479,456
208,04/11/24:12:15:30,259.979,459
209,04/11/24:12:15:31,261.392,462
210,04/11/24:12:15:32,262.817,465
211,04/11/24:12:15:34,264.282,468
212,04/11/24:12:15:35,265.634,471
213,04/11/24:12:15:36,266.868,473
214,04/11/24:12:15:37,268.037,476
215,04/11/24:12:15:38,268.995,477
216,04/11/24:12:15:39,269.75,479
217,04/11/24:12:15:40,270.545,481
218,04/11/24:12:15:41,271.011,482
219,04/11/24:12:15:42,271.444,482
220,04/11/24:12:15:43,271.742,483
221,04/11/24:12:15:44,271.817,483
222,04/11/24:12:15:45,271.932,483
223,04/11/24:12:15:46,271.86,483
224,04/11/24:12:15:47,271.701,483
225,04/11/24:12:15:48,271.552,483
226,04/11/24:12:15:49,271.182,482
227,04/11/24:12:15:50,270.846,481
228,04/11/24:12:15:51,270.497,480
229,04/11/24:12:15:52,269.98,479
230,04/11/24:12:15:53,269.616,479
231,04/11/24:12:15:54,269.064,478
232,04/11/24:12:15:55,268.575,477
233,04/11/24:12:15:56,268.096,476
234,04/11/24:12:15:57,267.471,474
235,04/11/24:12:15:58,267.024,474
236,04/11/24:12:15:59,266.42,472
237,04/11/24:12:16:00,265.716,471
238,04/11/24:12:16:01,265.073,470
239,04/11/24:12:16:02,264.653,469
240,04/11/24:12:16:03,263.898,467
241,04/11/24:12:16:04,263.153,466
242,04/11/24:12:16:05,262.441,464
243,04/11/24:12:16:06,261.878,463
244,04/11/24:12:16:07,261.176,462
245,04/11/24:12:16:08,260.363,460
246,04/11/24:12:16:09,259.643,459
247,04/11/24:12:16:11,259.062,458
248,04/11/24:12:16:12,258.252,456
249,04/11/24:12:16:13,257.435,454
250,04/11/24:12:16:14,256.604,453
251,04/11/24:12:16:15,256.045,452
252,04/11/24:12:16:16,255.272,450
253,04/11/24:12:16:17,254.441,448
254,04/11/24:12:16:18,253.674,447
255,04/11/24:12:16:19,253.059,446
256,04/11/24:12:16:20,252.277,444
257,04/11/24:12:16:21,251.523,443
258,04/11/24:12:16:22,250.93,441
259,04/11/24:12:16:23,250.328,440
260,04/11/24:12:16:24,249.632,439
261,04/11/24:12:16:25,248.934,437
262,04/11/24:12:16:26,248.518,437
263,04/11/24:12:16:27,247.902,435
264,04/11/24:12:16:28,247.324,434
265,04/11/24:12:16:29,246.831,433
266,04/11/24:12:16:30,246.391,432
267,04/11/24:12:16:31,245.842,431
268,04/11/24:12:16:32,245.315,430
269,04/11/24:12:16:33,245.061,430
270,04/11/24:12:16:34,244.557,429
271,04/11/24:12:16:35,244.038,428
272,04/11/24:12:16:36,243.587,427
273,04/11/24:12:16:37,243.326,426
274,04/11/24:12:16:38,242.885,425
275,04/11/24:12:16:39,242.412,424
276,04/11/24:12:16:40,242.103,424
277,04/11/24:12:16:41,241.745,423
278,04/11/24:12:16:42,241.253,422
279,04/11/24:12:16:43,240.81,421
280,04/11/24:12:16:45,240.514,421
281,04/11/24:12:16:46,240.113,420
282,04/11/24:12:16:47,239.638,419
283,04/11/24:12:16:48,239.159,418
284,04/11/24:12:16:49,238.872,417
285,04/11/24:12:16:50,238.373,416
286,04/11/24:12:16:51,237.971,415
287,04/11/24:12:16:52,237.583,415
288,04/11/24:12:16:53,237.079,414
289,04/11/24:12:16:54,236.712,413
290,04/11/24:12:16:55,236.295,412
291,04/11/24:12:16:56,235.808,411
292,04/11/24:12:16:57,235.47,410
293,04/11/24:12:16:58,234.992,409
294,04/11/24:12:16:59,234.551,409
295,04/11/24:12:17:00,234.209,408
296,04/11/24:12:17:01,233.723,407
297,04/11/24:12:17:02,233.306,406
298,04/11/24:12:17:03,232.963,405
299,04/11/24:12:17:04,232.494,404
300,04/11/24:12:17:05,232.155,404
301,04/11/24:12:17:06,231.814,403
302,04/11/24:12:17:07,231.391,402
303,04/11/24:12:17:08,231.103,402
304,04/11/24:12:17:09,230.714,401
305,04/11/24:12:17:10,230.308,400
306,04/11/24:12:17:11,230.068,400
307,04/11/24:12:17:12,229.669,399
308,04/11/24:12:17:13,229.327,398
309,04/11/24:12:17:14,229.085,398
310,04/11/24:12:17:15,228.703,397
311,04/11/24:12:17:16,228.38,396
312,04/11/24:12:17:17,228.176,396
313,04/11/24:12:17:19,227.824,395
314,04/11/24:12:17:20,227.657,395
315,04/11/24:12:17:21,227.462,394
316,04/11/24:12:17:22,227.275,394
317,04/11/24:12:17:23,227.319,394
318,04/11/24:12:17:24,227.407,394
319,04/11/24:12:17:25,227.552,395
320,04/11/24:12:17:26,228.013,396
321,04/11/24:12:17:27,228.475,396
322,04/11/24:12:17:28,229.189,398
323,04/11/24:12:17:29,230.161,400
324,04/11/24:12:17:30,231.091,402
325,04/11/24:12:17:31,232.243,404
326,04/11/24:12:17:32,233.63,407
327,04/11/24:12:17:33,235.07,410
328,04/11/24:12:17:34,236.699,413
329,04/11/24:12:17:35,238.305,416
330,04/11/24:12:17:36,239.913,419
331,04/11/24:12:17:37,241.555,423
332,04/11/24:12:17:38,243.241,426
333,04/11/24:12:17:39,244.769,429
334,04/11/24:12:17:40,246.294,432
335,04/11/24:12:17:41,247.792,435
336,04/11/24:12:17:42,249.101,438
337,04/11/24:12:17:43,250.379,440
338,04/11/24:12:17:44,251.561,443
339,04/11/24:12:17:45,252.629,445
340,04/11/24:12:17:46,253.494,446
341,04/11/24:12:17:47,254.389,448
342,04/11/24:12:17:48,254.999,449
343,04/11/24:12:17:49,255.477,450
344,04/11/24:12:17:51,256.021,452
345,04/11/24:12:17:52,256.262,452
346,04/11/24:12:17:53,256.403,452
347,04/11/24:12:17:54,256.623,453
348,04/11/24:12:17:55,256.627,453
349,04/11/24:12:17:56,256.639,453
350,04/11/24:12:17:57,256.514,453
351,04/11/24:12:17:58,256.294,452
352,04/11/24:12:17:59,256.121,452
353,04/11/24:12:18:00,255.771,451
354,04/11/24:12:18:01,255.494,450
355,04/11/24:12:18:02,255.095,450
356,04/11/24:12:18:03,254.739,449
357,04/11/24:12:18:04,254.285,448
358,04/11/24:12:18:05,253.801,447
359,04/11/24:12:18:06,253.278,446
360,04/11/24:12:18:07,252.76,445
361,04/11/24:12:18:08,252.172,444
362,04/11/24:12:18:09,251.648,443
363,04/11/24:12:18:10,251.068,442
364,04/11/24:12:18:11,250.481,440
365,04/11/24:12:18:12,249.752,439
366,04/11/24:12:18:13,249.182,438
367,04/11/24:12:18:14,248.457,436
368,04/11/24:12:18:15,247.83,435
369,04/11/24:12:18:16,247.112,434
370,04/11/24:12:18:17,246.405,432
371,04/11/24:12:18:18,245.705,431
372,04/11/24:12:18:19,244.896,429
373,04/11/24:12:18:20,244.194,428
374,04/11/24:12:18:21,243.394,426
375,04/11/24:12:18:22,242.69,425
376,04/11/24:12:18:23,241.897,423
377,04/11/24:12:18:24,241.204,422
378,04/11/24:12:18:25,240.509,421
379,04/11/24:12:18:27,239.669,419
380,04/11/24:12:18:28,239.089,418
381,04/11/24:12:18:29,238.325,416
382,04/11/24:12:18:30,237.554,415
383,04/11/24:12:18:31,237.01,414
384,04/11/24:12:18:32,236.242,412
385,04/11/24:12:18:33,235.544,411
386,04/11/24:12:18:34,234.994,409
387,04/11/24:12:18:35,234.253,408
388,04/11/24:12:18:36,233.675,407
389,04/11/24:12:18:37,233.085,406
390,04/11/24:12:18:38,232.388,404
391,04/11/24:12:18:39,231.811,403
392,04/11/24:12:18:40,231.34,402
393,04/11/24:12:18:41,230.687,401
394,04/11/24:12:18:42,230.094,400
395,04/11/24:12:18:43,229.642,399
396,04/11/24:12:18:44,229.125,398
397,04/11/24:12:18:45,228.531,397
398,04/11/24:12:18:46,228.04,396
399,04/11/24:12:18:47,227.562,395
400,04/11/24:12:18:48,227.034,394
401,04/11/24:12:18:49,226.558,393
402,04/11/24:12:18:50,226.213,392
403,04/11/24:12:18:51,225.673,391
404,04/11/24:12:18:52,225.204,390
405,04/11/24:12:18:53,224.923,389
406,04/11/24:12:18:54,224.463,388
407,04/11/24:12:18:55,224.026,388
408,04/11/24:12:18:56,223.798,387
409,04/11/24:12:18:57,223.404,386
410,04/11/24:12:18:58,222.954,385
411,04/11/24:12:19:00,222.522,385
412,04/11/24:12:19:01,222.232,384
413,04/11/24:12:19:02,222.068,384
414,04/11/24:12:19:03,221.662,383
415,04/11/24:12:19:04,221.255,382
416,04/11/24:12:19:05,220.898,381
417,04/11/24:12:19:06,220.766,381
418,04/11/24:12:19:07,220.44,380
419,04/11/24:12:19:08,220.076,380
420,04/11/24:12:19:09,219.78,379
421,04/11/24:12:19:10,219.736,379
422,04/11/24:12:19:11,219.461,378
423,04/11/24:12:19:12,219.128,378
424,04/11/24:12:19:13,218.797,377
425,04/11/24:12:19:14,218.507,377
426,04/11/24:12:19:15,218.428,376
427,04/11/24:12:19:16,218.27,376
428,04/11/24:12:19:17,217.955,375
429,04/11/24:12:19:18,217.652,375
430,04/11/24:12:19:19,217.39,374
431,04/11/24:12:19:20,217.222,374
432,04/11/24:12:19:21,217.256,374
433,04/11/24:12:19:22,217.021,374
434,04/11/24:12:19:23,216.737,373
435,04/11/24:12:19:24,216.507,373
436,04/11/24:12:19:25,216.264,372
437,04/11/24:12:19:26,216.179,372
438,04/11/24:12:19:27,216.174,372
439,04/11/24:12:19:28,215.946,371
440,04/11/24:12:19:29,215.682,371
441,04/11/24:12:19:30,215.446,370
442,04/11/24:12:19:31,215.272,370
443,04/11/24:12:19:32,215.314,370
444,04/11/24:12:19:34,215.141,370
445,04/11/24:12:19:35,214.881,369
446,04/11/24:12:19:36,214.66,369
447,04/11/24:12:19:37,214.481,368
448,04/11/24:12:19:38,214.525,369
449,04/11/24:12:19:39,214.401,368
450,04/11/24:12:19:40,214.195,368
451,04/11/24:12:19:41,213.986,367
452,04/11/24:12:19:42,213.798,367
453,04/11/24:12:19:43,213.852,367
454,04/11/24:12:19:44,213.685,367
455,04/11/24:12:19:45,213.488,366
456,04/11/24:12:19:46,213.293,366
457,04/11/24:12:19:47,213.163,366
458,04/11/24:12:19:48,213.222,366
459,04/11/24:12:19:49,213.018,366
460,04/11/24:12:19:50,212.777,365
461,04/11/24:12:19:51,212.606,365
462,04/11/24:12:19:52,212.637,365
463,04/11/24:12:19:53,212.518,365
464,04/11/24:12:19:54,212.318,364
465,04/11/24:12:19:55,212.123,364
466,04/11/24:12:19:56,212.021,364
467,04/11/24:12:19:57,212.099,364
468,04/11/24:12:19:58,211.897,363
469,04/11/24:12:19:59,211.718,363
470,04/11/24:12:20:00,211.521,363
471,04/11/24:12:20:01,211.51,363
472,04/11/24:12:20:02,211.522,363
473,04/11/24:12:20:03,211.34,362
474,04/11/24:12:20:04,211.159,362
475,04/11/24:12:20:05,211.001,362
476,04/11/24:12:20:06,211.045,362
477,04/11/24:12:20:08,210.981,361
478,04/11/24:12:20:09,210.771,361
479,04/11/24:12:20:10,210.605,361
480,04/11/24:12:20:11,210.559,361
481,04/11/24:12:20:12,210.588,361
482,04/11/24:12:20:13,210.408,360
483,04/11/24:12:20:14,210.223,360
484,04/11/24:12:20:15,210.155,360
485,04/11/24:12:20:16,210.172,360
486,04/11/24:12:20:17,210.005,360
487,04/11/24:12:20:18,209.865,359
488,04/11/24:12:20:19,209.86,359
489,04/11/24:12:20:20,209.785,359
490,04/11/24:12:20:21,209.616,359
491,04/11/24:12:20:22,209.516,359
492,04/11/24:12:20:23,209.522,359
493,04/11/24:12:20:24,209.371,358
494,04/11/24:12:20:25,209.306,358
495,04/11/24:12:20:26,209.277,358
496,04/11/24:12:20:27,209.14,358
497,04/11/24:12:20:28,209.062,358
498,04/11/24:12:20:29,209.02,358
499,04/11/24:12:20:30,208.882,357
500,04/11/24:12:20:31,208.862,357
501,04/11/24:12:20:32,208.801,357
502,04/11/24:12:20:33,208.665,357
503,04/11/24:12:20:34,208.668,357
504,04/11/24:12:20:35,208.568,357
505,04/11/24:12:20:36,208.43,356
506,04/11/24:12:20:37,208.468,356
507,04/11/24:12:20:38,208.421,356
508,04/11/24:12:20:39,208.275,356
509,04/11/24:12:20:40,208.225,356
510,04/11/24:12:20:41,208.279,356
511,04/11/24:12:20:42,208.141,356
512,04/11/24:12:20:44,208.023,356
513,04/11/24:12:20:45,208.042,356
514,04/11/24:12:20:46,207.922,355
515,04/11/24:12:20:47,207.801,355
516,04/11/24:12:20:48,207.881,355
517,04/11/24:12:20:49,207.763,355
518,04/11/24:12:20:50,207.637,355
519,04/11/24:12:20:51,207.706,355
520,04/11/24:12:20:52,207.557,355
521,04/11/24:12:20:53,207.444,354
522,04/11/24:12:20:54,207.522,355
523,04/11/24:12:20:55,207.392,354
524,04/11/24:12:20:56,207.273,354
525,04/11/24:12:20:57,207.32,354
526,04/11/24:12:20:58,207.245,354
527,04/11/24:12:20:59,207.132,354
528,04/11/24:12:21:00,207.083,354
529,04/11/24:12:21:01,207.128,354
530,04/11/24:12:21:02,207.027,354
531,04/11/24:12:21:03,206.929,353
532,04/11/24:12:21:04,206.935,353
533,04/11/24:12:21:05,206.813,353
534,04/11/24:12:21:06,206.788,353
535,04/11/24:12:21:07,206.812,353
536,04/11/24:12:21:08,206.699,353
537,04/11/24:12:21:09,206.659,353
538,04/11/24:12:21:10,206.661,353
539,04/11/24:12:21:11,206.533,353
540,04/11/24:12:21:12,206.565,353
541,04/11/24:12:21:13,206.458,352
542,04/11/24:12:21:14,206.341,352
543,04/11/24:12:21:15,206.357,352
544,04/11/24:12:21:16,206.232,352
545,04/11/24:12:21:17,206.26,352
546,04/11/24:12:21:18,206.173,352
547,04/11/24:12:21:20,206.175,352
548,04/11/24:12:21:21,206.097,352
549,04/11/24:12:21:22,206.098,352
550,04/11/24:12:21:23,206.01,352
551,04/11/24:12:21:24,205.958,351
552,04/11/24:12:21:25,205.907,351
553,04/11/24:12:21:26,205.764,351
554,04/11/24:12:21:27,205.747,351
555,04/11/24:12:21:28,205.691,351
556,04/11/24:12:21:29,205.608,351
557,04/11/24:12:21:30,205.663,351
558,04/11/24:12:21:31,205.531,351
559,04/11/24:12:21:32,205.571,351
560,04/11/24:12:21:33,205.53,351
561,04/11/24:12:21:34,205.431,350
562,04/11/24:12:21:35,205.443,350
563,04/11/24:12:21:36,205.314,350
564,04/11/24:12:21:37,205.348,350
565,04/11/24:12:21:38,205.318,350
566,04/11/24:12:21:39,205.192,350
567,04/11/24:12:21:40,205.251,350
568,04/11/24:12:21:41,205.13,350
569,04/11/24:12:21:42,205.044,350
570,04/11/24:12:21:43,205.1,350
571,04/11/24:12:21:44,204.984,349
572,04/11/24:12:21:45,204.95,349
573,04/11/24:12:21:46,204.871,349
574,04/11/24:12:21:47,204.854,349
575,04/11/24:12:21:48,204.81,349
576,04/11/24:12:21:49,204.809,349
577,04/11/24:12:21:50,204.744,349
578,04/11/24:12:21:51,204.776,349
579,04/11/24:12:21:52,204.672,349
580,04/11/24:12:21:53,204.681,349
581,04/11/24:12:21:54,204.61,349
582,04/11/24:12:21:56,204.551,349
583,04/11/24:12:21:57,204.559,349
584,04/11/24:12:21:58,204.46,348
585,04/11/24:12:21:59,204.544,349
586,04/11/24:12:22:00,204.472,348
587,04/11/24:12:22:01,204.378,348
588,04/11/24:12:22:02,204.419,348
589,04/11/24:12:22:03,204.3,348
590,04/11/24:12:22:04,204.375,348
591,04/11/24:12:22:05,204.275,348
592,04/11/24:12:22:06,204.239,348
593,04/11/24:12:22:07,204.264,348
594,04/11/24:12:22:08,204.178,348
595,04/11/24:12:22:09,204.195,348
596,04/11/24:12:22:10,204.136,348
597,04/11/24:12:22:11,204.183,348
598,04/11/24:12:22:12,204.304,348
599,04/11/24:12:22:13,204.28,348
600,04/11/24:12:22:14,204.282,348
601,04/11/24:12:22:15,204.215,348
602,04/11/24:12:22:16,204.178,348
603,04/11/24:12:22:17,204.197,348
604,04/11/24:12:22:18,204.16,348
605,04/11/24:12:22:19,204.099,348
606,04/11/24:12:22:20,204.123,348
607,04/11/24:12:22:21,204.028,348
608,04/11/24:12:22:22,204.112,348
609,04/11/24:12:22:23,203.985,347
610,04/11/24:12:22:24,203.994,347
611,04/11/24:12:22:25,203.963,347
612,04/11/24:12:22:26,203.842,347
613,04/11/24:12:22:27,203.876,347
614,04/11/24:12:22:28,203.814,347
615,04/11/24:12:22:29,203.777,347
616,04/11/24:12:22:30,203.855,347
617,04/11/24:12:22:32,203.764,347
618,04/11/24:12:22:33,203.68,347
619,04/11/24:12:22:34,203.83,347
620,04/11/24:12:22:35,203.763,347
621,04/11/24:12:22:36,203.635,347
622,04/11/24:12:22:37,203.549,347
623,04/11/24:12:22:38,203.687,347
624,04/11/24:12:22:39,203.623,347
625,04/11/24:12:22:40,203.524,347
626,04/11/24:12:22:41,203.444,346
627,04/11/24:12:22:42,203.589,347
628,04/11/24:12:22:43,203.482,346
629,04/11/24:12:22:44,203.399,346
630,04/11/24:12:22:45,203.421,346
631,04/11/24:12:22:46,203.428,346
632,04/11/24:12:22:47,203.33,346
633,04/11/24:12:22:48,203.327,346
634,04/11/24:12:22:49,203.372,346
635,04/11/24:12:22:50,203.275,346
636,04/11/24:12:22:51,203.254,346
637,04/11/24:12:22:52,203.313,346
638,04/11/24:12:22:53,203.221,346
639,04/11/24:12:22:54,203.199,346
640,04/11/24:12:22:55,203.303,346
641,04/11/24:12:22:56,203.195,346
642,04/11/24:12:22:57,203.089,346
643,04/11/24:12:22:58,203.145,346
644,04/11/24:12:22:59,203.151,346
645,04/11/24:12:23:00,203.038,346
646,04/11/24:12:23:01,202.984,345
647,04/11/24:12:23:02,203.099,346
648,04/11/24:12:23:03,203.016,346
649,04/11/24:12:23:04,202.931,345
650,04/11/24:12:23:05,202.993,345
651,04/11/24:12:23:06,203.003,346
652,04/11/24:12:23:07,202.871,345
653,04/11/24:12:23:09,202.845,345
