,Time,mV,ppb
0,04/11/24:15:16:11,339.119,618
1,04/11/24:15:16:12,339.082,618
2,04/11/24:15:16:13,339.037,618
3,04/11/24:15:16:14,339.005,618
4,04/11/24:15:16:15,338.952,617
5,04/11/24:15:16:16,338.918,617
6,04/11/24:15:16:17,338.862,617
7,04/11/24:15:16:18,338.825,617
8,04/11/24:15:16:19,338.811,617
9,04/11/24:15:16:20,338.93,617
10,04/11/24:15:16:21,338.953,617
11,04/11/24:15:16:23,338.984,617
12,04/11/24:15:16:24,338.992,617
13,04/11/24:15:16:25,338.958,617
14,04/11/24:15:16:26,338.915,617
15,04/11/24:15:16:27,338.901,617
16,04/11/24:15:16:28,338.858,617
17,04/11/24:15:16:29,338.832,617
18,04/11/24:15:16:30,338.805,617
19,04/11/24:15:16:31,338.753,617
20,04/11/24:15:16:32,338.719,617
21,04/11/24:15:16:33,338.747,617
22,04/11/24:15:16:34,338.946,617
23,04/11/24:15:16:35,338.968,617
24,04/11/24:15:16:36,338.969,617
25,04/11/24:15:16:37,338.961,617
26,04/11/24:15:16:38,338.958,617
27,04/11/24:15:16:39,338.927,617
28,04/11/24:15:16:40,338.876,617
29,04/11/24:15:16:41,338.815,617
30,04/11/24:15:16:42,338.758,617
31,04/11/24:15:16:43,338.706,617
32,04/11/24:15:16:45,338.648,617
33,04/11/24:15:16:46,338.637,617
34,04/11/24:15:16:47,338.619,617
35,04/11/24:15:16:48,338.574,617
36,04/11/24:15:16:49,338.539,617
37,04/11/24:15:16:50,338.767,617
38,04/11/24:15:16:51,338.824,617
39,04/11/24:15:16:52,338.819,617
40,04/11/24:15:16:53,338.788,617
41,04/11/24:15:16:54,338.746,617
42,04/11/24:15:16:55,338.694,617
43,04/11/24:15:16:56,338.659,617
44,04/11/24:15:16:57,338.619,617
45,04/11/24:15:16:58,338.557,617
46,04/11/24:15:16:59,338.52,617
47,04/11/24:15:17:00,338.456,616
48,04/11/24:15:17:01,338.445,616
49,04/11/24:15:17:02,338.423,616
50,04/11/24:15:17:03,338.401,616
51,04/11/24:15:17:05,338.383,616
52,04/11/24:15:17:06,338.396,616
53,04/11/24:15:17:07,338.526,617
54,04/11/24:15:17:08,338.525,617
55,04/11/24:15:17:09,338.506,617
56,04/11/24:15:17:10,338.478,616
57,04/11/24:15:17:11,338.435,616
58,04/11/24:15:17:12,338.372,616
59,04/11/24:15:17:13,338.319,616
60,04/11/24:15:17:14,338.282,616
61,04/11/24:15:17:15,338.228,616
62,04/11/24:15:17:16,337.786,615
63,04/11/24:15:17:17,337.374,614
64,04/11/24:15:17:18,337.169,614
65,04/11/24:15:17:19,337.109,614
66,04/11/24:15:17:20,337.232,614
67,04/11/24:15:17:21,337.249,614
68,04/11/24:15:17:22,337.255,614
69,04/11/24:15:17:23,337.31,614
70,04/11/24:15:17:24,337.409,614
71,04/11/24:15:17:26,337.524,615
72,04/11/24:15:17:27,337.656,615
73,04/11/24:15:17:28,337.825,615
74,04/11/24:15:17:29,337.979,615
75,04/11/24:15:17:30,338.161,616
76,04/11/24:15:17:31,338.352,616
77,04/11/24:15:17:32,338.467,616
78,04/11/24:15:17:33,338.703,617
79,04/11/24:15:17:34,338.924,617
80,04/11/24:15:17:35,338.968,617
81,04/11/24:15:17:36,338.916,617
82,04/11/24:15:17:37,338.827,617
83,04/11/24:15:17:38,338.713,617
84,04/11/24:15:17:39,338.555,617
85,04/11/24:15:17:40,338.372,616
86,04/11/24:15:17:41,338.177,616
87,04/11/24:15:17:42,337.976,615
88,04/11/24:15:17:43,337.759,615
89,04/11/24:15:17:44,337.554,615
90,04/11/24:15:17:45,337.356,614
91,04/11/24:15:17:46,337.163,614
92,04/11/24:15:17:47,336.959,613
93,04/11/24:15:17:49,336.869,613
94,04/11/24:15:17:50,336.812,613
95,04/11/24:15:17:51,336.689,613
96,04/11/24:15:17:52,336.575,613
97,04/11/24:15:17:53,336.441,612
98,04/11/24:15:17:54,336.314,612
99,04/11/24:15:17:55,336.199,612
100,04/11/24:15:17:56,336.097,612
101,04/11/24:15:17:57,336.0,612
102,04/11/24:15:17:58,335.908,611
103,04/11/24:15:17:59,335.812,611
104,04/11/24:15:18:00,335.755,611
105,04/11/24:15:18:01,335.712,611
