
2024-01-12 14:50:58.797118
dV(mV), Signal(mV)
50.0000, 456.3973, 
51.0000, 229.9535, 
52.0000, 407.1107, 
53.0000, 294.9569, 
54.0000, 438.0865, 
55.0000, 479.1333, 
56.0000, 396.1242, 
57.0000, 256.0464, 
58.0000, 513.3135, 
59.0000, 404.5167, 
60.0000, 596.0174, 
61.0000, 450.4463, 
62.0000, 500.4959, 
63.0000, 449.2256, 
64.0000, 406.5003, 
65.0000, 446.6316, 
66.0000, 752.5750, 
67.0000, 1604.3336, 
68.0000, 3723.2013, 
69.0000, 7999.3896, 
70.0000, 15275.5016, 
71.0000, 18882.7344, 
72.0000, 18890.3639, 
73.0000, 18890.5165, 
74.0000, 18890.0587, 
75.0000, 18890.0587, 
76.0000, 18889.7536, 
77.0000, 18587.7775, 
78.0000, 11740.9018, 
79.0000, 6643.1678, 
80.0000, 3854.4289, 
81.0000, 3002.2126, 
82.0000, 2628.2139, 
83.0000, 2266.7277, 
84.0000, 1896.8490, 
85.0000, 2285.6489, 
86.0000, 2298.6191, 
87.0000, 2148.7755, 
88.0000, 2331.4260, 
89.0000, 2352.6360, 
90.0000, 2538.3383, 
91.0000, 2608.3772, 
92.0000, 2537.4228, 
93.0000, 2131.2276, 
94.0000, 1873.8079, 
95.0000, 1652.7047, 
96.0000, 1235.0652, 
97.0000, 1291.8288, 
98.0000, 1071.7937, 
99.0000, 895.7046, 
100.0000, 1352.4071, 
101.0000, 1312.4285, 
102.0000, 1151.5984, 
103.0000, 1282.2156, 
104.0000, 1502.8611, 
105.0000, 1732.2042, 
106.0000, 2196.5362, 
107.0000, 2874.3420, 
108.0000, 3979.8581, 
109.0000, 6172.7321, 
110.0000, 8959.4873, 
111.0000, 11737.3922, 
112.0000, 13480.4303, 
113.0000, 12237.5830, 
114.0000, 10023.6515, 
115.0000, 6430.3044, 
116.0000, 3089.3416, 
117.0000, 1420.6149, 
118.0000, 1272.1447, 
119.0000, 719.1577, 
120.0000, 707.7134, 
121.0000, 757.1527, 
122.0000, 806.2867, 
123.0000, 539.2538, 
124.0000, 542.9160, 
125.0000, 396.5820, 
126.0000, 251.3161, 
127.0000, 484.6265, 
128.0000, 396.5820, 
129.0000, 619.6689, 
130.0000, 612.4971, 
131.0000, 500.8011, 
132.0000, 581.6739, 
133.0000, 461.5854, 
134.0000, 498.2071, 
135.0000, 282.9023, 
136.0000, 542.4582, 
137.0000, 271.6106, 
138.0000, 145.1133, 
139.0000, 197.7569, 
140.0000, 238.0407, 
141.0000, 417.9446, 
142.0000, 215.3048, 
143.0000, 375.3719, 
144.0000, 153.3532, 
145.0000, 263.9811, 
146.0000, 304.2649, 
147.0000, 132.4483, 
148.0000, 216.2203, 
149.0000, 301.6709, 
150.0000, 386.5110, 
151.0000, 342.4125, 
152.0000, 278.1720, 
153.0000, 144.1978, 
154.0000, 146.6392, 
155.0000, 89.1127, 
156.0000, 444.9531, 
157.0000, 164.0345, 
158.0000, 64.8508, 
159.0000, 325.6275, 
160.0000, 272.3735, 
161.0000, 45.7771, 
162.0000, 190.8904, 
163.0000, 316.1669, 
164.0000, 280.6134, 
165.0000, 156.8627, 
166.0000, 78.8891, 
167.0000, 90.6386, 
168.0000, 90.6386, 
169.0000, 48.6763, 
170.0000, 117.9522, 
171.0000, 368.2002, 
172.0000, 255.5886, 
173.0000, 75.5322, 
174.0000, 213.4737, 
175.0000, 295.8724, 
176.0000, 165.8656, 
177.0000, 78.1262, 
178.0000, 552.8344, 
179.0000, 147.0970, 
180.0000, 14.8013, 
181.0000, 377.0504, 
182.0000, 50.5074, 
183.0000, 195.6207, 
184.0000, 260.6241, 
185.0000, 202.7924, 
186.0000, 120.3937, 
187.0000, 585.3361, 
188.0000, 233.0053, 
189.0000, 141.7563, 
190.0000, 317.2351, 
191.0000, 411.8410, 
192.0000, 222.0188, 
193.0000, 200.1984, 
194.0000, 12.9702, 
195.0000, 137.7890, 
196.0000, 499.1226, 
197.0000, 468.1468, 
198.0000, 164.7974, 
199.0000, 105.2873, 
